nama,kategori,foto,deskripsi
Plains,Overworld,plains.png,"Biome dataran rendah yang luas, didominasi oleh rumput hijau dan bunga-bunga. Tempat terbaik untuk membangun base karena permukaannya yang rata. Mob ramah seperti domba, sapi, dan kuda sangat sering muncul di sini."
Cherry Grove,Overworld,cherry.jpg,"Biome pegunungan indah yang dipenuhi oleh pepohonan ceri (Cherry Blossoms) dengan dedaunan berwarna merah muda. Kelopak bunga berguguran secara otomatis di sekitar area ini, menciptakan suasana yang sangat estetik dan damai."
Deep Dark,Overworld,deep.jpeg,"Biome misterius yang berada jauh di bawah tanah kedalaman negatif. Biome ini diselimuti oleh blok Sculk berwarna gelap, tidak memunculkan mob biasa, namun sangat berbahaya karena dijaga oleh The Warden yang akan muncul jika Anda berisik."
Mangrove Swamp,Overworld,mangrove.jpg,"Variasi rawa berlumpur tebal yang dipenuhi oleh pepohonan Mangrove besar dengan akar menggantung yang lebat. Tempat berkumpulnya balok lumpur (Mud) alami dan rumah bagi kawanan katak (Frogs)."
Nether Wastes,Nether,nether.png,"Biome neraka klasik yang didominasi oleh batu Netherrack dan lautan lava yang luas. Tempat tinggal utama bagi para Zombie Piglins, Ghast yang beterbangan, dan tempat di mana Nether Fortress sering ditemukan."
Crimson Forest,Nether,crimson.jpg,"Hutan lebat bernuansa merah membara di dalam Nether. Dipenuhi oleh vegetasi tumbuhan Crimson, jamur raksasa, dan kabut tebal kemerahan. Berhati-hatilah karena biome ini merupakan wilayah berburu bagi para Hoglins yang agresif."
Warped Forest,Nether,warped.png,"Kebalikan dari Crimson, hutan ini memiliki nuansa warna biru firus (cyan) yang tenang dan kabut biru tua yang pekat. Ini adalah salah satu biome paling aman di Nether karena Hoglins takut masuk ke sini, dan Endermen banyak berkumpul di sini."
Soul Sand Valley,Nether,soul.png,"Lembah gersang berdebu yang seluruh tanahnya terdiri dari Soul Sand dan Soul Soil yang dapat memperlambat gerakan jalan Anda. Dicirikan dengan kabut sian kebiruan, struktur fosil tulang raksasa, dan api biru yang membakar tanah."
The End Barrens,The End,the_end.jpeg,"Wilayah pinggiran berupa pulau-pulau melayang yang terletak jauh dari pulau utama tempat Ender Dragon bertarung. Dataran gersang berbatu End Stone yang sepi dan berfungsi sebagai penghubung antar pulau luar."
End Highlands,The End,end_highlands.jpeg,"Daerah dataran tinggi di pulau-pulau luar End. Ini adalah area paling penting di dimensi ini karena merupakan satu-satunya tempat di mana tanaman Chorus Fruit tumbuh lebat dan struktur megah End City (tempat mendapatkan Elytra) bisa bergenerasi."
